Set1 (name),Set2 (borders),Set3 (location),answers
Name contains the letter O,Name has 6 or 7 letters,Borders one or two countries,8
Name contains the letter O,Name has 6 or 7 letters,Lies entirely south of the equator,4
Name contains the letter O,Name has 6 or 7 letters,In Asia,3
Name contains the letter O,Name has 9 letters or more,In the Americas,4
Name contains the letter O,Name has 9 letters or more,Landlocked (no sea coastline),5
Name contains the letter O,Name has 9 letters or more,Island nation (no land borders),6
Name contains the letter O,Name has 9 letters or more,Borders one or two countries,9
Name contains the letter O,Name has 9 letters or more,Lies entirely south of the equator,4
Name contains the letter O,Name has 9 letters or more,In Asia,5
Name contains the letter O,Name has 8 or 9 letters,In the Americas,5
Name contains the letter O,Name has 8 or 9 letters,Landlocked (no sea coastline),5
Name contains the letter O,Name has 8 or 9 letters,Island nation (no land borders),4
Name contains the letter O,Name has 8 or 9 letters,Borders one or two countries,4
Name contains the letter O,Name has 8 or 9 letters,Lies entirely south of the equator,1
Name contains the letter O,Name has 8 or 9 letters,In Asia,4
Name contains the letter O,Name has 7 or 8 letters,In the Americas,6
Name contains the letter O,Name has 7 or 8 letters,Landlocked (no sea coastline),8
Name contains the letter O,Name has 7 or 8 letters,Island nation (no land borders),3
Name contains the letter O,Name has 7 or 8 letters,Borders one or two countries,9
Name contains the letter O,Name has 7 or 8 letters,Lies entirely south of the equator,4
Name contains the letter O,Name has 7 or 8 letters,In Asia,4
Name contains the letter O,Name has 7 to 9 letters,In the Americas,7
Name contains the letter O,Name has 7 to 9 letters,Landlocked (no sea coastline),9
Name contains the letter O,Name has 7 to 9 letters,Island nation (no land borders),5
Name contains the letter O,Name has 7 to 9 letters,Borders one or two countries,11
Name contains the letter O,Name has 7 to 9 letters,Lies entirely south of the equator,4
Name contains the letter O,Name has 7 to 9 letters,In Asia,6
Name contains the letter O,Name has 7 letters or fewer,In the Americas,3
Name contains the letter O,Name has 7 letters or fewer,Landlocked (no sea coastline),5
Name contains the letter O,Name has 7 letters or fewer,Island nation (no land borders),3
Name contains the letter O,Name has 7 letters or fewer,Borders one or two countries,8
Name contains the letter O,Name has 7 letters or fewer,Lies entirely south of the equator,6
Name contains the letter O,Name has 7 letters or fewer,In Asia,5
Name ends in the letter A,Name has 6 or 7 letters,In the Americas,6
Name ends in the letter A,Name has 6 or 7 letters,Landlocked (no sea coastline),10
Name ends in the letter A,Name has 6 or 7 letters,Island nation (no land borders),2
Name ends in the letter A,Name has 6 or 7 letters,Borders one or two countries,7
Name ends in the letter A,Name has 6 or 7 letters,Lies entirely south of the equator,5
Name ends in the letter A,Name has 6 or 7 letters,In Asia,2
Name ends in the letter A,Name has 9 letters or more,In the Americas,7
Name ends in the letter A,Name has 9 letters or more,Landlocked (no sea coastline),1
Name ends in the letter A,Name has 9 letters or more,Island nation (no land borders),4
Name ends in the letter A,Name has 9 letters or more,Borders one or two countries,5
Name ends in the letter A,Name has 9 letters or more,Lies entirely south of the equator,4
Name ends in the letter A,Name has 9 letters or more,In Asia,4
Name ends in the letter A,Name has 8 or 9 letters,In the Americas,7
Name ends in the letter A,Name has 8 or 9 letters,Landlocked (no sea coastline),4
Name ends in the letter A,Name has 8 or 9 letters,Island nation (no land borders),3
Name ends in the letter A,Name has 8 or 9 letters,Borders one or two countries,3
Name ends in the letter A,Name has 8 or 9 letters,Lies entirely south of the equator,4
Name ends in the letter A,Name has 8 or 9 letters,In Asia,5
Name ends in the letter A,Name has 7 or 8 letters,In the Americas,5
Name ends in the letter A,Name has 7 or 8 letters,Landlocked (no sea coastline),10
Name ends in the letter A,Name has 7 or 8 letters,Island nation (no land borders),4
Name ends in the letter A,Name has 7 or 8 letters,Borders one or two countries,5
Name ends in the letter A,Name has 7 or 8 letters,Lies entirely south of the equator,4
Name ends in the letter A,Name has 7 or 8 letters,In Asia,6
Name ends in the letter A,Name has 7 to 9 letters,In the Americas,10
Name ends in the letter A,Name has 7 to 9 letters,Landlocked (no sea coastline),10
Name ends in the letter A,Name has 7 to 9 letters,Island nation (no land borders),5
Name ends in the letter A,Name has 7 to 9 letters,Borders one or two countries,7
Name ends in the letter A,Name has 7 to 9 letters,Lies entirely south of the equator,6
Name ends in the letter A,Name has 7 to 9 letters,In Asia,7
Name ends in the letter A,Name has 7 letters or fewer,In the Americas,7
Name ends in the letter A,Name has 7 letters or fewer,Landlocked (no sea coastline),10
Name ends in the letter A,Name has 7 letters or fewer,Island nation (no land borders),6
Name ends in the letter A,Name has 7 letters or fewer,Borders one or two countries,7
Name ends in the letter A,Name has 7 letters or fewer,Lies entirely south of the equator,7
Name ends in the letter A,Name has 7 letters or fewer,In Asia,5
Name starts with a letter A-G,Name has 6 or 7 letters,In the Americas,8
Name starts with a letter A-G,Name has 6 or 7 letters,Landlocked (no sea coastline),8
Name starts with a letter A-G,Name has 6 or 7 letters,Island nation (no land borders),5
Name starts with a letter A-G,Name has 6 or 7 letters,Borders one or two countries,9
Name starts with a letter A-G,Name has 6 or 7 letters,Lies entirely south of the equator,4
Name starts with a letter A-G,Name has 6 or 7 letters,In Asia,6
Name starts with a letter A-G,Name has 9 letters or more,In the Americas,6
Name starts with a letter A-G,Name has 9 letters or more,Landlocked (no sea coastline),4
Name starts with a letter A-G,Name has 9 letters or more,Island nation (no land borders),3
Name starts with a letter A-G,Name has 9 letters or more,Borders one or two countries,6
Name starts with a letter A-G,Name has 9 letters or more,Lies entirely south of the equator,2
Name starts with a letter A-G,Name has 9 letters or more,In Asia,3
Name starts with a letter A-G,Name has 8 or 9 letters,In the Americas,6
Name starts with a letter A-G,Name has 8 or 9 letters,Landlocked (no sea coastline),3
Name starts with a letter A-G,Name has 8 or 9 letters,Island nation (no land borders),4
Name starts with a letter A-G,Name has 8 or 9 letters,Borders one or two countries,2
Name starts with a letter A-G,Name has 8 or 9 letters,Lies entirely south of the equator,4
Name starts with a letter A-G,Name has 8 or 9 letters,In Asia,1
Name starts with a letter A-G,Name has 7 or 8 letters,In the Americas,7
Name starts with a letter A-G,Name has 7 or 8 letters,Landlocked (no sea coastline),10
Name starts with a letter A-G,Name has 7 or 8 letters,Island nation (no land borders),6
Name starts with a letter A-G,Name has 7 or 8 letters,Borders one or two countries,5
Name starts with a letter A-G,Name has 7 or 8 letters,Lies entirely south of the equator,5
Name starts with a letter A-G,Name has 7 or 8 letters,In Asia,4
Name starts with a letter A-G,Name has 7 to 9 letters,In the Americas,10
Name starts with a letter A-G,Name has 7 to 9 letters,Landlocked (no sea coastline),10
Name starts with a letter A-G,Name has 7 to 9 letters,Island nation (no land borders),8
Name starts with a letter A-G,Name has 7 to 9 letters,Borders one or two countries,6
Name starts with a letter A-G,Name has 7 to 9 letters,Lies entirely south of the equator,7
Name starts with a letter A-G,Name has 7 to 9 letters,In Asia,4
Name starts with a letter A-G,Name has 7 letters or fewer,In the Americas,10
Name starts with a letter A-G,Name has 7 letters or fewer,Landlocked (no sea coastline),9
Name starts with a letter A-G,Name has 7 letters or fewer,Island nation (no land borders),7
Name starts with a letter A-G,Name has 7 letters or fewer,Borders one or two countries,9
Name starts with a letter A-G,Name has 7 letters or fewer,Lies entirely south of the equator,6
Name starts with a letter A-G,Name has 7 letters or fewer,In Asia,7
Name contains the letter R,Name has 6 or 7 letters,In the Americas,4
Name contains the letter R,Name has 6 or 7 letters,Landlocked (no sea coastline),8
Name contains the letter R,Name has 6 or 7 letters,Island nation (no land borders),4
Name contains the letter R,Name has 6 or 7 letters,Borders one or two countries,7
Name contains the letter R,Name has 6 or 7 letters,Lies entirely south of the equator,4
Name contains the letter R,Name has 6 or 7 letters,In Asia,9
Name contains the letter R,Name has 9 letters or more,In the Americas,8
Name contains the letter R,Name has 9 letters or more,Landlocked (no sea coastline),9
Name contains the letter R,Name has 9 letters or more,Island nation (no land borders),11
Name contains the letter R,Name has 9 letters or more,Borders one or two countries,11
Name contains the letter R,Name has 9 letters or more,Lies entirely south of the equator,6
Name contains the letter R,Name has 9 letters or more,In Asia,9
Name contains the letter R,Name has 8 or 9 letters,In the Americas,7
Name contains the letter R,Name has 8 or 9 letters,Landlocked (no sea coastline),2
Name contains the letter R,Name has 8 or 9 letters,Island nation (no land borders),7
Name contains the letter R,Name has 8 or 9 letters,Borders one or two countries,4
Name contains the letter R,Name has 8 or 9 letters,Lies entirely south of the equator,4
Name contains the letter R,Name has 8 or 9 letters,In Asia,2
Name contains the letter R,Name has 7 or 8 letters,In the Americas,7
Name contains the letter R,Name has 7 or 8 letters,Landlocked (no sea coastline),7
Name contains the letter R,Name has 7 or 8 letters,Island nation (no land borders),6
Name contains the letter R,Name has 7 or 8 letters,Borders one or two countries,7
Name contains the letter R,Name has 7 or 8 letters,Lies entirely south of the equator,4
Name contains the letter R,Name has 7 or 8 letters,In Asia,5
Name contains the letter R,Name has 7 to 9 letters,In the Americas,10
Name contains the letter R,Name has 7 to 9 letters,Landlocked (no sea coastline),8
Name contains the letter R,Name has 7 to 9 letters,Island nation (no land borders),10
Name contains the letter R,Name has 7 to 9 letters,Borders one or two countries,10
Name contains the letter R,Name has 7 to 9 letters,Lies entirely south of the equator,7
Name contains the letter R,Name has 7 to 9 letters,In Asia,6
Name contains the letter R,Name has 7 letters or fewer,In the Americas,5
Name contains the letter R,Name has 7 letters or fewer,Landlocked (no sea coastline),9
Name contains the letter R,Name has 7 letters or fewer,Island nation (no land borders),5
Name contains the letter R,Name has 7 letters or fewer,Borders one or two countries,8
Name contains the letter R,Name has 7 letters or fewer,Lies entirely south of the equator,6
Name contains the letter R,Name has 7 letters or fewer,In Asia,13
Name starts with a letter M-Z,Name has 6 or 7 letters,In the Americas,3
Name starts with a letter M-Z,Name has 6 or 7 letters,Landlocked (no sea coastline),6
Name starts with a letter M-Z,Name has 6 or 7 letters,Island nation (no land borders),2
Name starts with a letter M-Z,Name has 6 or 7 letters,Borders one or two countries,7
Name starts with a letter M-Z,Name has 6 or 7 letters,Lies entirely south of the equator,7
Name starts with a letter M-Z,Name has 6 or 7 letters,In Asia,3
Name starts with a letter M-Z,Name has 9 letters or more,In the Americas,7
Name starts with a letter M-Z,Name has 9 letters or more,Landlocked (no sea coastline),7
Name starts with a letter M-Z,Name has 9 letters or more,Island nation (no land borders),14
Name starts with a letter M-Z,Name has 9 letters or more,Borders one or two countries,10
Name starts with a letter M-Z,Name has 9 letters or more,Lies entirely south of the equator,9
Name starts with a letter M-Z,Name has 9 letters or more,In Asia,10
Name starts with a letter M-Z,Name has 8 or 9 letters,In the Americas,4
Name starts with a letter M-Z,Name has 8 or 9 letters,Landlocked (no sea coastline),5
Name starts with a letter M-Z,Name has 8 or 9 letters,Island nation (no land borders),4
Name starts with a letter M-Z,Name has 8 or 9 letters,Borders one or two countries,4
Name starts with a letter M-Z,Name has 8 or 9 letters,Lies entirely south of the equator,4
Name starts with a letter M-Z,Name has 8 or 9 letters,In Asia,7
Name starts with a letter M-Z,Name has 7 or 8 letters,In the Americas,3
Name starts with a letter M-Z,Name has 7 or 8 letters,Landlocked (no sea coastline),5
Name starts with a letter M-Z,Name has 7 or 8 letters,Island nation (no land borders),3
Name starts with a letter M-Z,Name has 7 or 8 letters,Borders one or two countries,6
Name starts with a letter M-Z,Name has 7 or 8 letters,Lies entirely south of the equator,6
Name starts with a letter M-Z,Name has 7 or 8 letters,In Asia,8
Name starts with a letter M-Z,Name has 7 to 9 letters,In the Americas,5
Name starts with a letter M-Z,Name has 7 to 9 letters,Landlocked (no sea coastline),6
Name starts with a letter M-Z,Name has 7 to 9 letters,Island nation (no land borders),5
Name starts with a letter M-Z,Name has 7 to 9 letters,Borders one or two countries,8
Name starts with a letter M-Z,Name has 7 to 9 letters,Lies entirely south of the equator,7
Name starts with a letter M-Z,Name has 7 to 9 letters,In Asia,9
Name starts with a letter M-Z,Name has 7 letters or fewer,In the Americas,4
Name starts with a letter M-Z,Name has 7 letters or fewer,Landlocked (no sea coastline),9
Name starts with a letter M-Z,Name has 7 letters or fewer,Island nation (no land borders),7
Name starts with a letter M-Z,Name has 7 letters or fewer,Borders one or two countries,10
Name starts with a letter M-Z,Name has 7 letters or fewer,Lies entirely south of the equator,11
Name starts with a letter M-Z,Name has 7 letters or fewer,In Asia,8
